Frame,Right Velocity,Left Velocity,Right Displacement,Left Displacement
0,0.0,0.0,0.0,0.0
1,5.0,10.0,0.2,0.4
2,5.0,10.0,0.2,0.4
3,5.0,10.0,0.2,0.4
4,15.0,12.071067811865476,0.6,0.48284271247461896
5,10.0,10.0,0.4,0.4
6,10.0,5.0,0.4,0.2
7,19.14213562373095,10.0,0.765685424949238,0.4
8,19.14213562373095,5.0,0.765685424949238,0.2
9,0.0,0.0,0.0,0.0
10,5.0,0.0,0.2,0.0
11,0.0,0.0,0.0,0.0
12,29.14213562373095,15.0,1.1656854249492379,0.6
13,10.0,5.0,0.4,0.2
14,0.0,0.0,0.0,0.0
15,0.0,15.0,0.0,0.6
16,0.0,10.0,0.0,0.4
17,0.0,5.0,0.0,0.2
18,0.0,5.0,0.0,0.2
19,0.0,0.0,0.0,0.0
20,15.0,7.0710678118654755,0.6,0.282842712474619
21,5.0,5.0,0.2,0.2
22,0.0,5.0,0.0,0.2
23,10.0,12.071067811865476,0.4,0.48284271247461896
24,15.0,10.0,0.6,0.4
25,15.0,5.0,0.6,0.2
26,20.0,0.0,0.8,0.0
27,15.0,0.0,0.6,0.0
28,5.0,5.0,0.2,0.2
29,15.0,0.0,0.6,0.0
30,22.071067811865476,5.0,0.882842712474619,0.2
31,75.46192127984564,71.6227766016838,3.018476851193826,2.864911064067352
32,82.43416490252568,70.83087286650269,3.2973665961010274,2.8332349146601077
33,47.683155286227795,61.99172818834084,1.9073262114491119,2.4796691275336338
34,28.251407699364428,38.25140769936443,1.130056307974577,1.530056307974577
35,29.14213562373095,28.284271247461902,1.1656854249492379,1.131370849898476
36,20.0,15.0,0.8,0.6
37,22.071067811865476,15.0,0.882842712474619,0.6
38,20.0,5.0,0.8,0.2
39,0.0,5.0,0.0,0.2
40,10.0,5.0,0.4,0.2
41,15.0,0.0,0.6,0.0
42,25.0,10.0,1.0,0.4
43,15.0,0.0,0.6,0.0
44,10.0,24.14213562373095,0.4,0.9656854249492379
45,5.0,15.0,0.2,0.6
46,0.0,10.0,0.0,0.4
47,20.0,20.0,0.8,0.8
48,17.071067811865476,15.0,0.682842712474619,0.6
49,10.0,20.0,0.4,0.8
50,12.071067811865476,20.0,0.48284271247461896,0.8
51,17.071067811865476,19.14213562373095,0.682842712474619,0.7656854249492381
52,25.0,5.0,1.0,0.2
53,5.0,5.0,0.2,0.2
54,15.0,5.0,0.6,0.2
55,17.071067811865476,15.0,0.682842712474619,0.6
56,10.0,10.0,0.4,0.4
57,15.0,30.322475511229904,0.6,1.2128990204491958
58,12.071067811865476,25.3224755112299,0.48284271247461896,1.0128990204491959
59,5.0,20.0,0.2,0.8
60,0.0,25.0,0.0,1.0
61,20.0,15.0,0.8,0.6
62,17.071067811865476,15.0,0.682842712474619,0.6
63,10.0,0.0,0.4,0.0
64,0.0,5.0,0.0,0.2
65,20.0,12.071067811865476,0.8,0.48284271247461896
66,20.0,5.0,0.8,0.2
67,22.071067811865476,5.0,0.882842712474619,0.2
68,20.0,5.0,0.8,0.2
69,10.0,7.0710678118654755,0.4,0.282842712474619
70,0.0,20.0,0.0,0.8
71,5.0,5.0,0.2,0.2
72,5.0,0.0,0.2,0.0
73,5.0,15.0,0.2,0.6
74,10.0,7.0710678118654755,0.4,0.282842712474619
75,5.0,10.0,0.2,0.4
76,5.0,7.0710678118654755,0.2,0.282842712474619
77,10.0,12.071067811865476,0.4,0.48284271247461896
78,5.0,20.0,0.2,0.8
79,26.213203435596427,20.0,1.0485281374238569,0.8
80,15.0,7.0710678118654755,0.6,0.282842712474619
81,10.0,10.0,0.4,0.4
82,10.0,15.0,0.4,0.6
83,10.0,12.071067811865476,0.4,0.48284271247461896
84,15.0,20.0,0.6,0.8
85,5.0,10.0,0.2,0.4
86,22.071067811865476,22.071067811865476,0.882842712474619,0.882842712474619
87,15.0,10.0,0.6,0.4
88,5.0,22.071067811865476,0.2,0.882842712474619
89,22.071067811865476,22.071067811865476,0.882842712474619,0.882842712474619
90,22.071067811865476,17.071067811865476,0.882842712474619,0.682842712474619
91,10.0,27.071067811865476,0.4,1.082842712474619
92,22.071067811865476,7.0710678118654755,0.882842712474619,0.282842712474619
93,17.071067811865476,20.0,0.682842712474619,0.8
94,22.071067811865476,10.0,0.882842712474619,0.4
95,22.071067811865476,29.14213562373095,0.882842712474619,1.1656854249492379
96,29.14213562373095,10.0,1.1656854249492379,0.4
97,5.0,20.0,0.2,0.8
98,22.071067811865476,24.14213562373095,0.882842712474619,0.9656854249492379
99,27.071067811865476,30.0,1.082842712474619,1.2
100,52.360679774997905,51.18033988749895,2.094427190999916,2.047213595499958
101,71.4269164289302,75.8113883008419,2.857076657157208,3.032455532033676
102,49.431747586863374,75.8113883008419,1.9772699034745351,3.032455532033676
103,30.0,57.360679774997905,1.2,2.294427190999916
104,31.213203435596427,32.071067811865476,1.248528137423857,1.282842712474619
105,5.0,22.071067811865476,0.2,0.882842712474619
106,12.071067811865476,22.071067811865476,0.48284271247461896,0.882842712474619
107,5.0,22.071067811865476,0.2,0.882842712474619
108,22.071067811865476,26.213203435596427,0.882842712474619,1.048528137423857
109,26.213203435596427,17.071067811865476,1.0485281374238569,0.682842712474619
